ID,Block,Gender,Hhsize,HousingType,Idimp,Iddiff,Idinsult,ViolNorm1,ViolNorm2,PeerBlameJ,PeerBlameH,PeerBlameD,NoMeeting,LeadBlameJ,LeadBlameH,LeadBlameD,EmotJob1,DegrEmotJ,EmotJob2,EmotHous1,DegrEmotH,EmotHous2,SAPosNow,SAPosNorm,ForPosNow,ForPosNorm,EmotPos1,DegrEmotPos,EmotPos2,LiveAlex08,ParticToyi,ParticIntim,ParticLoot,ParticHelp,ParticHarm,ParticDestr,IntendToyi,IntendToyi2,IntendHelp,IntendHit,IntendDestr,Age,AttendCh,Married,YrsAlex,Working,JobR,Lang,Party,Education,Ownership,HaveElect,HaveTV,HaveCell,HaveFridge,HaveMicro,HaveComp,HaveCar
10048,S4,1,1,5,1,4,3,5,1,4,4,4,2,4,4,4,7,2,3,7,2,NA,3,5,4,5,9,4,9,1,3,3,3,1,3,3,4,4,1,4,4,63,1,1,40,6,admin clerk,8,3,7,1,2,2,2,2,2,1,2
10049,S4,1,1,2,2,4,1,3,3,1,1,1,0,NA,NA,NA,3,2,6,3,2,6,2,5,5,2,3,2,7,1,3,3,3,3,3,3,3,2,4,3,4,26,2,2,77,7,airport worker,8,3,3,3,2,2,2,2,1,1,1
10050,S8,1,4,5,1,4,2,4,2,2,2,2,6,1,1,2,3,1,7,3,1,7,3,6,5,2,4,1,8,1,3,3,1,3,3,3,1,1,4,1,4,48,4,1,21,7,retail assistant,1,NA,1,1,2,2,2,2,2,1,2
10051,S4,2,4,2,1,4,2,4,1,2,2,2,0,NA,NA,NA,3,2,8,4,2,8,3,6,5,1,3,2,8,1,3,3,3,3,3,3,4,4,1,4,4,55,1,4,17,6,construction,4,3,1,1,2,2,2,2,1,1,1
10052,S4,2,2,6,2,4,3,4,2,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10053,S4,1,2,5,1,4,2,4,1,2,2,2,2,4,4,4,3,2,8,4,1,8,4,7,3,1,6,1,5,1,3,3,3,3,3,3,1,1,4,1,1,42,3,2,77,1,security guard,1,3,3,1,2,2,2,2,1,2,2
10054,S4,2,2,5,1,4,1,4,1,3,2,2,0,NA,NA,NA,8,1,3,3,1,6,3,7,4,2,4,1,4,1,3,3,3,3,3,3,1,1,2,4,4,27,2,2,9,7,filing,4,3,3,2,2,1,2,1,1,1,1
10055,S4,2,4,5,1,4,4,5,1,2,2,2,0,NA,NA,NA,8,1,3,8,1,6,3,4,5,1,8,1,3,1,3,3,3,3,3,3,4,4,4,4,4,39,1,3,8,7,domestic worker,1,3,3,2,2,2,2,2,1,1,1
10056,S4,1,2,2,1,4,1,5,1,2,2,2,0,NA,NA,NA,6,1,8,3,1,6,2,7,3,1,6,1,8,1,3,3,3,3,3,3,1,4,4,4,4,42,4,1,16,7,laboratory assistant,2,3,2,1,1,1,2,1,1,1,1
10057,S4,2,4,2,1,1,1,5,1,2,2,2,2,3,3,3,3,1,4,3,1,4,1,7,7,1,3,1,4,1,2,3,3,3,3,3,4,4,4,4,4,21,2,3,3,7,never worked,2,3,3,3,2,2,2,2,1,1,1
10058,H1,1,3,4,1,4,1,2,4,2,2,1,0,NA,NA,NA,3,1,4,3,1,4,4,7,4,2,3,1,8,1,1,1,3,3,3,1,1,1,4,1,4,26,4,3,11,7,never worked,1,2,2,3,2,2,2,1,1,1,1
10059,H1,1,1,4,1,4,1,5,1,1,1,2,0,NA,NA,NA,3,1,4,4,1,3,3,7,4,1,6,1,3,1,NA,NA,NA,NA,NA,NA,1,1,4,1,4,37,4,2,2,2,security guard,2,88,2,3,2,2,2,1,1,1,1
10060,S2,2,4,5,1,3,1,5,1,4,4,4,0,NA,NA,NA,6,1,8,6,1,3,1,7,4,1,3,1,6,1,3,3,3,3,3,3,4,4,4,4,4,28,1,3,77,7,cashier,4,3,2,1,2,2,2,2,2,1,1
10061,S2,1,1,5,1,4,1,5,2,2,2,2,0,NA,NA,NA,8,1,3,4,1,6,3,6,4,1,4,1,3,1,3,3,3,3,3,3,1,1,4,4,4,48,3,1,77,7,cook,1,3,2,1,2,2,2,2,1,1,1
10063,S2,1,3,5,1,4,2,4,2,3,2,4,0,NA,NA,NA,4,1,3,3,1,8,3,7,4,1,3,1,4,1,3,3,3,3,3,3,1,1,4,3,3,29,3,2,77,7,sales,8,3,3,1,2,2,2,2,2,2,1
10064,S2,2,1,5,2,4,1,4,2,3,3,3,0,NA,NA,NA,3,1,4,6,1,8,3,6,3,1,3,1,4,1,3,3,3,3,3,3,2,2,4,4,2,41,2,1,20,1,cleaner,2,8,2,1,2,2,2,2,2,1,1
10065,S2,1,1,6,1,3,4,5,1,4,3,2,2,4,4,4,6,2,8,4,1,3,4,6,4,4,2,1,5,1,3,3,3,3,3,3,4,4,1,4,4,31,4,2,27,7,car guard,5,3,3,2,2,2,1,1,1,1,1
10066,S2,2,5,2,1,4,1,5,1,2,3,3,4,4,4,4,7,2,8,6,1,3,2,6,4,6,7,1,4,1,3,3,3,3,3,3,4,4,1,4,4,36,2,2,77,7,domestic worker,1,3,2,1,2,2,2,2,2,1,1
10067,S2,2,1,1,1,4,4,5,1,2,1,3,0,NA,NA,NA,9,NA,NA,7,1,6,5,7,6,3,8,1,8,1,3,3,3,3,3,3,4,4,1,4,4,35,3,3,6,7,driver,5,3,3,1,2,2,2,2,1,1,1
10068,S2,2,3,6,1,4,2,4,2,2,2,2,0,NA,NA,NA,3,1,4,3,1,4,3,5,4,2,6,1,3,1,3,3,3,3,3,3,1,1,4,4,4,55,NA,1,77,4,domestic worker,4,3,1,1,2,2,2,2,1,1,1
10069,S2,2,1,6,3,3,2,5,1,2,1,4,0,NA,NA,NA,9,1,NA,7,1,6,3,5,2,5,6,1,8,1,3,3,3,3,3,3,4,4,1,4,4,20,NA,3,77,5,never worked,1,3,3,1,2,2,2,2,2,1,1
10070,S2,1,2,6,1,4,2,4,1,3,2,3,0,NA,NA,NA,3,1,8,8,1,7,4,6,3,2,6,2,3,1,3,3,3,3,3,3,4,4,3,4,4,43,3,4,77,1,security guard,1,8,2,1,2,2,2,2,2,1,1
10071,S2,2,2,6,1,4,4,5,1,2,1,3,1,4,4,4,5,2,6,4,1,3,4,5,3,2,9,1,4,1,3,3,3,3,3,3,1,1,1,4,4,42,2,1,35,7,printing,8,3,2,1,2,2,2,2,2,1,2
10072,S4,1,4,5,1,3,2,2,3,4,2,4,0,NA,NA,NA,5,2,7,8,2,3,4,6,3,2,8,1,6,1,3,3,3,3,3,3,3,2,3,4,4,57,2,1,77,6,machine operator,1,8,2,1,2,2,2,2,2,1,2
10073,S8,1,1,6,1,4,1,2,1,3,2,4,1,3,2,4,6,2,4,3,1,8,4,5,3,2,9,2,88,1,3,3,3,3,3,3,1,1,4,4,4,34,2,2,34,3,tavern owner,1,2,2,3,2,2,2,2,1,1,1
10074,S4,2,1,5,1,4,2,5,2,3,2,3,0,NA,NA,NA,3,1,7,8,2,8,5,7,4,3,7,2,4,1,3,3,3,3,3,3,4,4,2,4,4,40,2,4,77,7,factory worker,8,3,2,1,2,2,2,2,2,2,1
10075,S4,1,2,5,1,3,4,5,1,4,4,4,0,NA,NA,NA,3,2,6,8,1,5,5,7,3,2,NA,1,8,1,3,3,3,3,3,3,4,4,3,4,4,56,2,4,77,7,driver,2,88,2,3,1,2,2,2,1,1,1
10077,S8,1,2,5,1,4,1,1,4,2,4,4,0,NA,NA,NA,3,1,4,3,1,5,4,7,2,1,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,38,3,2,77,2,electrician,1,8,8,1,2,2,2,2,1,1,1
